center,bu,team,employee_count,p1_ratio,p2_ratio,p3_ratio,p4_ratio,p5_ratio,location_fixity,office_ratio,cafeteria_ratio,movement_complexity,data_density,external_activity,primary_plant,cluster,reliability_score,correction_factor,correction_type
오퍼레이션센터,MSAT담당,MSAT담당,1,3.4965034965034967,32.51748251748251,2.4475524475524475,80.06993006993007,0.0,95.45454545454545,2.797202797202797,0.0,56.0,14.3,38.111888111888106,P4,5,0.6678181818181819,0.9235636363636364,minimal
품질운영센터,-,Client Quality팀,14,4.3284094812779115,27.58502232909653,7.660597732737891,79.42287873582961,0.0,91.41188594984541,3.6757128134661627,0.0,10.857142857142858,10.39642857142857,35.65784953624184,P4,5,0.573576115227953,0.92,standard
품질운영센터,-,DI 개선 T/F,12,8.627325208466965,38.29377806286081,11.09685695958948,67.12636305323926,0.0,86.59397049390634,3.3033996151379084,0.0,15.333333333333334,12.991666666666665,27.325208466966007,P4,5,0.6062092153089587,0.92,standard
품질운영센터,-,Quality PMO그룹,3,1.633045148895293,32.18059558117195,4.226705091258405,69.54851104707012,0.0,80.97982708933718,2.2094140249759846,0.0,26.333333333333332,17.35,40.345821325648416,P4,5,0.6239193083573487,0.92,standard
품질운영센터,-,Regulatory Affairs그룹,9,9.082308420056764,41.57994323557237,8.798486281929991,76.72658467360453,0.14191106906338694,93.6140018921476,3.878902554399243,0.0,14.11111111111111,11.744444444444444,22.753074739829707,P4,5,0.6093448964574792,0.92,standard
품질운영센터,-,품질운영센터,2,13.793103448275861,35.221674876847295,8.374384236453201,79.06403940886699,0.0,99.50738916256158,1.7241379310344827,0.0,31.0,10.15,27.832512315270936,P4,5,0.6010295566502463,0.92,standard
품질운영센터,QA담당,Batch Disposition그룹,5,4.221635883905013,39.84168865435356,6.068601583113456,82.49780123131046,0.0,94.54705364995603,3.781882145998241,0.0,20.8,11.370000000000001,20.40457343887423,P4,5,0.6055882145998241,0.92,standard
품질운영센터,QA담당,Compliance QA팀,82,5.517334412518549,24.533477224695353,7.46436440487432,74.6436440487432,4.019964926480507,91.71725347362741,3.4443994783938128,0.0,3.8048780487804876,13.560365853658535,25.617159044921085,P4,5,0.8239299895042658,0.9721789968512797,very_minimal
품질운영센터,QA담당,Operation QA팀,113,6.942815458992476,31.315616328632316,7.543553508596275,65.80942300540664,9.591784192007323,92.33915953886202,7.062963068913236,0.0,4.415929203539823,15.46769911504425,19.890150756643877,P4,5,0.8368787620492534,0.976063628614776,very_minimal
품질운영센터,QA담당,Technical QA팀,68,6.490590954110267,30.940904588973257,15.562892043578739,75.78078573786729,0.6800924397490921,93.31792670848465,6.00198085176626,0.0,4.411764705882353,11.136029411764707,26.358534169692966,P4,5,0.763639353892762,0.9427278707785525,minimal
품질운영센터,QC담당,ASAT팀,74,5.534438828787436,22.9439037634184,8.930286955432104,82.60724280522952,0.04176934965122593,95.15057850549266,4.210350444843574,0.0,3.7162162162162162,16.17635135135135,14.769642036673488,P4,5,0.8691158275354841,0.9857347482606452,very_minimal
품질운영센터,QC담당,QC Operations팀,235,2.743879958708155,15.499188910190236,21.636742368382244,73.3179103377083,0.010138622622032148,95.68186845597995,6.450007373543726,0.0,1.7063829787234042,23.084255319148937,9.29803863736912,P4,6,0.9315359844622177,1.0,very_minimal
품질운영센터,QC담당,QC Performance관리그룹,7,3.156768325307651,30.390583199571964,8.239700374531834,80.3103263777421,0.0,92.88389513108615,4.601391118245051,0.0,20.857142857142858,13.35,25.68218298555377,P4,5,0.6385355805243447,0.92,standard
품질운영센터,QC담당,QC Support팀,174,4.624757684851842,20.988157101666477,40.92886115952889,45.113786306546984,2.795380129343346,92.79326241712414,18.024989004186555,0.0,3.293103448275862,17.63994252873563,13.245475426393211,P4,4,0.8723799462202207,0.9867139838660662,very_minimal
품질운영센터,QC담당,QC담당,1,0.6493506493506493,15.584415584415584,0.0,94.15584415584416,0.0,100.0,1.948051948051948,0.0,38.0,7.7,36.36363636363637,P4,5,0.554,0.92,standard
